Topic,Owner,Owner URL,Repository Name,Repository URL,Description,Stars
Compiler,webpack,https://github.com/webpack,webpack,https://github.com/webpack/webpack,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",65900
Compiler,FuelLabs,https://github.com/FuelLabs,sway,https://github.com/FuelLabs/sway,🌴 Empowering everyone to build reliable and efficient smart contracts.,62000
Compiler,gatsbyjs,https://github.com/gatsbyjs,gatsby,https://github.com/gatsbyjs/gatsby,"The best React-based framework with performance, scalability and security built in.",56000
Compiler,JetBrains,https://github.com/JetBrains,kotlin,https://github.com/JetBrains/kotlin,The Kotlin Programming Language.,52200
Compiler,typst,https://github.com/typst,typst,https://github.com/typst/typst,A markup-based typesetting system that is powerful and easy to learn.,50700
Compiler,parcel-bundler,https://github.com/parcel-bundler,parcel,https://github.com/parcel-bundler/parcel,The zero configuration build tool for the web. 📦🚀,44000
Compiler,babel,https://github.com/babel,babel,https://github.com/babel/babel,🐠 Babel is a compiler for writing next generation JavaScript.,43900
Compiler,ziglang,https://github.com/ziglang,zig,https://github.com/ziglang/zig,Moved to Codeberg,42600
Compiler,evanw,https://github.com/evanw,esbuild,https://github.com/evanw/esbuild,An extremely fast bundler for the web,39600
Compiler,vlang,https://github.com/vlang,v,https://github.com/vlang/v,"Simple, fast, safe, compiled language for developing maintainable software. Compiles itself in <1s with zero library dependencies. Supports automatic C => V translation. https://vlang.io",37300
Compiler,markedjs,https://github.com/markedjs,marked,https://github.com/markedjs/marked,A markdown parser and compiler. Built for speed.,36500
Compiler,carbon-language,https://github.com/carbon-language,carbon-lang,https://github.com/carbon-language/carbon-lang,"Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is experimental; see README)",33600
Compiler,swc-project,https://github.com/swc-project,swc,https://github.com/swc-project/swc,Rust-based platform for the Web,33200
Compiler,v8,https://github.com/v8,v8,https://github.com/v8/v8,The official mirror of the V8 Git repository,24800
Compiler,vercel,https://github.com/vercel,pkg,https://github.com/vercel/pkg,Package your Node.js project into an executable,24400
